OBJECTID,LocationName,Grey_Headed,Black,Little_Red,ObservationDate,Status,Approval,Young,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SHAPE_Length,SHAPE_Area
177796,Emerald,0,0,0,2019/05/09 03:53:29+00,A,3,Nil,FlyingFox_Contractor,2019/05/09 03:56:37+00,td018,2019/05/20 23:27:04+00,{3BED24F1-35F0-41E5-920E-DCE84AFEC585},458.651585757301,-12312.9679177235
177797,Andrea,3200,4400,0,2019/05/09 22:49:54+00,A,3,Independent,FlyingFox_Contractor,2019/05/09 23:15:47+00,td018,2019/05/20 23:28:24+00,{755CFCD0-DD3E-4F1F-9729-DC95ECDF72D1},626.865222622054,-18902.8635303797
177798,Mary,0,0,0,2019/05/10 00:23:02+00,A,3,Nil,FlyingFox_Contractor,2019/05/10 00:52:49+00,td018,2019/05/15 06:00:24+00,{7001B35E-C7E5-4D9E-86F6-3DCF35E5DDD7},250.040302539441,-3340.78859036411
177799,Hardie,0,0,0,2019/05/21 00:14:48+00,A,3,Nil,FlyingFox_Contractor,2019/05/21 00:17:51+00,td018,2019/06/03 22:53:17+00,{1BE0B9C5-9513-4160-9F0A-EFCCD4D85E48},344.036132898536,-6924.57618876752
177800,Vidler,260,605,0,2019/05/21 00:56:24+00,A,3,Independent,FlyingFox_Contractor,2019/05/21 01:12:10+00,td018,2019/06/03 22:53:30+00,{57DA3EFC-F375-4F91-9382-9E02BA275FF6},243.036754215742,-3558.06667180383
177801,Elizabeth,0,0,0,2019/05/21 03:01:00+00,A,3,Nil,FlyingFox_Contractor,2019/05/21 03:05:01+00,td018,2019/06/03 22:52:44+00,{3DCC4333-72CA-401C-B97A-B10757762366},441.340619166613,-5991.81011690984
177802,Aragorn,0,0,0,2019/05/21 03:26:30+00,A,3,Nil,FlyingFox_Contractor,2019/05/21 03:35:57+00,td018,2019/06/03 22:52:30+00,{93DA219C-37C3-4E7E-B215-4C1DCCE03074},548.085219571924,-12616.2299442346
177803,Emerald,0,81,0,2019/05/21 03:56:51+00,A,3,Nil,FlyingFox_Contractor,2019/05/21 04:16:39+00,td018,2019/06/03 22:53:02+00,{DC37B96A-72F8-4690-9785-2D8D59374AE0},27.803095597341,-50.5318465606101
177804,Andrea,0,0,0,2019/06/05 23:11:01+00,A,3,Nil,FlyingFox_Contractor,2019/06/05 23:15:16+00,td018,2019/06/12 23:23:28+00,{9C08DFA7-6DD0-4A10-A608-C6DA600947F6},371.084882183782,-8563.67314423278
177805,Vidler,0,305,0,2019/06/05 23:59:39+00,A,3,Nil,FlyingFox_Contractor,2019/06/06 00:07:40+00,td018,2019/06/12 23:56:09+00,{B46965E8-94F5-4A9E-8195-E07ECFD82001},124.761323797308,-1041.18045887059
177806,Emerald,0,65,0,2019/06/06 02:54:37+00,A,3,Nil,FlyingFox_Contractor,2019/06/06 01:57:39+00,td018,2019/06/12 23:22:26+00,{75CA8634-6D8F-433F-8277-FCEB7A328588},18.9629659365658,-21.4093985997593
177807,Elizabeth,0,0,0,2019/06/06 00:49:57+00,A,3,Nil,FlyingFox_Contractor,2019/06/06 00:53:10+00,td018,2019/06/12 23:21:46+00,{61066C37-B370-4413-8CA5-288D895403B7},443.782363607929,-6668.65842270012
177808,Aragorn,0,0,0,2019/06/06 02:25:41+00,A,3,Nil,FlyingFox_Contractor,2019/06/06 01:28:40+00,td018,2019/06/12 23:21:09+00,{B2B77355-687A-428D-BCA3-4C9DB9832FE5},600.491683273194,-13197.9298786842
177809,Andrea,620,3100,0,2019/06/06 23:08:01+00,A,3,Independent,FlyingFox_Contractor,2019/06/06 23:16:50+00,td018,2019/06/12 23:20:29+00,{705F5241-F219-44B1-8E60-D4BCA527B02F},454.736486916182,-10652.4770443663
